,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,pinging 190.78.67.23 and got response.. hurray !!!,FALSE,0,NA,2/4/2017 7:19,FALSE,NA,8.27779E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ArunfromIND,0,FALSE,FALSE,NA,NA
2,"Up for work in 2 hours, haven't slept and still absolutely pinging lol, ideal",FALSE,0,NA,2/4/2017 7:15,FALSE,NA,8.27778E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lauren_upton_,0,FALSE,FALSE,NA,NA
3,'Researchers' completely ignoring the fact that dumbphones in a child's back pocket are now pinging microwaves... https://t.co/iiGtxUdIWH,FALSE,0,NA,2/4/2017 6:50,FALSE,NA,8.27771E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",shawnpower79,0,FALSE,FALSE,NA,NA
4,Listening to the sounds of freezing rain pinging on my chimney,FALSE,0,NA,2/4/2017 6:42,FALSE,NA,8.27769E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sunnyallison,0,FALSE,FALSE,NA,NA
5,"@Mayraaa_64 Oh, thank you for pinging me! I like hearing from you.",FALSE,0,yayfrens,2/4/2017 6:28,FALSE,8.27673E+17,8.27766E+17,2999987369,"<a href=""http://www.sibylmoon.com/"" rel=""nofollow"">YayFrens</a>",yayfrens,0,FALSE,FALSE,NA,NA
6,@skinnymonk Mind pinging us at support@zeplin.io? We'll send you a few thing you can try!,FALSE,0,skinnymonk,2/4/2017 6:04,FALSE,8.27759E+17,8.2776E+17,77958341,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",zeplin_io,0,FALSE,FALSE,NA,NA
7,"RT @aakashvinay17: Good to see you back on the pitch for @EdinburghCityFC, @josh_walker89. Keep pinging them long diagonals. <U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+FE0F> #TopPlayer…",FALSE,0,NA,2/4/2017 5:59,FALSE,NA,8.27759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RajsekharVarsha,1,TRUE,FALSE,NA,NA
8,RT @intorflowers_: tragic when ur still pinging af n @georgias491 is getting up for work :/,FALSE,0,NA,2/4/2017 5:46,FALSE,NA,8.27755E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",georgias491,1,TRUE,FALSE,NA,NA
9,tragic when ur still pinging af n @georgias491 is getting up for work :/,FALSE,0,NA,2/4/2017 5:44,FALSE,NA,8.27755E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",intorflowers_,1,FALSE,FALSE,NA,NA
10,When Cesc's playing and pinging them passes like nothing... #CFC #JusticeForCesc #FreeCesc #CFCAFC https://t.co/f4JYdHUt15,FALSE,2,NA,2/4/2017 5:42,FALSE,NA,8.27754E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MrChelseaBoss,0,FALSE,FALSE,NA,NA
